,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,"The feminist activist, refuting a Times article, describes how she campaigned for the black congresswoman in the 1972 presidential campaign.",To the Editor:,Gloria Steinem: I Did Not Abandon Shirley Chisholm,"Chisholm, Shirley;Steinem, Gloria",2019-07-08,article,Opinion,Letter
0,"President Trump’s statement came close to declaring Kim Darroch, the ambassador, persona non grata — an extraordinary breach between the United States and one of its closest allies.",WASHINGTON — President Trump celebrates his bond with Queen Elizabeth II. He is less charitable about those who serve her.,Leaked British Cables Critical of Trump Lead to Diplomatic Uproar,"United States International Relations;Great Britain Withdrawal from EU (Brexit);Darroch, Kim (1954- );May, Theresa M;Trump, Donald J;Great Britain;United States Politics and Government",2019-07-08,article,U.S.,News
0,The owners of Chikalicious have come up with a yogurt-based treat.,"Chika Tillman, who owns the Chikalicious dessert shop in the East Village with her husband, Don Tillman, has created a yogurt dessert being sold at Dominant Cultures, their new pop-up nearby. They use their homemade yogurt as the base, and add a made-to-order sorbet whizzed on the spot in a high-speed Pacojet blender. July’s flavors are rosemary, basil and watermelon. Next month, you’ll find lemongrass and honey-thyme. It will be open until late fall when they will open a more permanent outlet for the dessert nearby.",A New Frozen Dessert for Summer,"Yogurt;Ice Cream and Frozen Desserts;East Village (Manhattan, NY)",2019-07-08,article,Food,News
0,The United States Agency for Global Media is facing intensified scrutiny after two new cases raised questions about journalistic and financial management.,"WASHINGTON — The United States Agency for Global Media, the government’s foreign broadcast service, already struggling to clean house after a series of scandals last year at flagship operations like Voice of America and TV Martí, is now being rocked by two new cases that have raised further questions about its journalistic and financial management.",New Scandals Rock Government’s Foreign Broadcasting Service,"News and News Media;United States Agency for Global Media;Appointments and Executive Changes;United States Politics and Government;Voice of America;Bennett, Amanda;Lansing, John F;Regalado, Tomas P;Regalado, Tomas N;Trump, Donald J;Radio y Television Marti;Ethics and Official Misconduct",2019-07-08,article,U.S.,News
0,Will Horowitz of Harry & Ida’s coaxes ballpark flavors from carrots for his By Chloe vegan dog.,"To make the new carrot dog for By Chloe, the chef Will Horowitz and his sister, Julie Horowitz, who own Harry & Ida’s in the East Village, cure large carrots for several days. Then they slow-smoke them. The process takes about a week. The result is a properly smoky-tasting hot-dog look-alike, grilled and nestled in a bun with mustard and sauerkraut. The texture is crunchy, not succulent and still carrot. It’s a tasty novelty and one that Samantha Wasser, a founder of By Chloe, a fast-casual chain that uses only plant-based ingredients, considered to be perfect for her restaurants. She said she loved that it wasn’t highly processed, “unlike most plant-based meat substitutes like burgers and sausages.” Mr. Horowitz, who is known for his real pastrami, is increasingly experimenting with vegetables like radishes that look like cured meat and smoked celery root to mimic turkey. “I’m starting to pivot our entire smokehouse business in this direction,” he said.",A Leap in Hot Dog Technology,"Cooking and Cookbooks;Vegetables;Hot Dogs and Frankfurters;Carrots;Horowitz, William H (1982- );By Chloe (Manhattan, NY, Restaurant)",2019-07-08,article,Food,News
0,Dine on sushi from the chef Masaharu Morimoto on a Monday night cruise in New York Harbor.,"Sunset on the Hudson is just one attraction for a series of cruises from Classic Harbor Line. In addition to the views, America 2.0 — a polished wood-trimmed yacht designed with a nod to the original America’s Cup winner from 1851 and led by a crew mostly of women — provides a selection of sakes to accompany sushi plates created by the chef Masaharu Morimoto. He will be on board for the cruise on July 29.","Sushi, With a Sunset View","Cruises;Sushi;Morimoto, Masaharu;Hudson River",2019-07-08,article,Food,News
0,The Italian chef will teach you how to personalize some traditional dishes in the latest culinary series from MasterClass.,"Massimo Bottura, the Italian chef, restaurateur and philanthropist, is the latest culinary personality in the MasterClass lineup of video instruction. His are also the first Italian cooking classes. He emphasizes the importance of developing one’s own palate and how to personalize some traditional dishes, like pumpkin risotto. He also covers ways to reduce food waste, with preparations like “broth of everything.”",Private Lessons With Massimo Bottura,"Cooking and Cookbooks;E-Learning;Bottura, Massimo;MasterClass (Yanka Industries Inc)",2019-07-08,article,Food,News
0,"Powered by its people, Aloha, a brand revolutionizing plant-based foods, is helping you eat well.","Powered by its people, Aloha, a brand revolutionizing plant-based foods, is helping you eat well.",The Company With the Recipe for a Better Food Future,ADVERTISING AND MARKETING,2019-07-08,multimedia,T Brand,Video
0,Some supplements may actually be harmful for cardiovascular health.,Millions of Americans use dietary supplements and a variety of diets to protect their heart health. But a large new analysis found that there was strikingly little proof from rigorous studies that supplements and some widely recommended diets have the power to prevent heart disease.,Supplements and Diets for Heart Health Show Limited Proof of Benefit,Diet and Nutrition;Dietary Supplements and Herbal Remedies;Vitamins;Salt;Iron (Nutrient);Heart;Blood Pressure;Oils and Fats;Omega-3 Fatty Acids;Preventive Medicine;Folic Acid,2019-07-08,article,Well,News
0,"This plate, with skewers and notches to hold them, makes a lovely host gift.","A platter meant to accommodate kebabs, with notches on the sides to hold the skewers, is a nice addition, especially for the grill. It’s a handsome piece, and with the ridges in the bottom, would be excellent for grilled steaks or a heap of corn on the cob.",Made With Grillers in Mind,Cookware;Grilling (Cooking);VILLEROY & BOCH,2019-07-08,article,Food,News
